Platform,Retweets,Likes,Country,Hour,Hashtag_1,Hashtag_2,Sentiment_Group,Part_of_Day
Instagram,21,42, UK,18,NatureAdventures,HighSchoolFriends,Positive,Evening
Twitter,26,50, USA,14,SportsTriumph,HighSchoolAthletics,Positive,Afternoon
Facebook,23,45, Canada,17,GlobalFriendship,HighSchoolCorrespondence,Positive,Evening
Instagram,22,43, UK,20,ArtCollaboration,HighSchoolCreativity,Positive,Night
Instagram,23,44, USA,16,ArtisticExpression,HighSchoolCreativity,Positive,Evening
Twitter,26,51, Canada,12,AthleticAchievement,HighSchoolSports,Positive,Afternoon
Facebook,20,39, UK,18,ScienceFairWinner,HighSchoolScience,Positive,Evening
Instagram,25,48, USA,14,SurpriseCelebration,HighSchoolFriendship,Positive,Afternoon
Twitter,22,42, Canada,17,CommunityGiving,HighSchoolPhilanthropy,Positive,Evening
Facebook,21,43, UK,20,CulturalCelebration,HighSchoolUnity,Positive,Night
Instagram,24,47, USA,15,VirtualEntertainment,HighSchoolPositivity,Positive,Afternoon
